index,consumption_good,round,name
1130,10,11,firm20
1131,7,11,firm43
1132,6,11,firm74
1133,14,11,firm7
1134,8,11,firm38
1135,10,11,firm69
1136,12,11,firm17
1137,14,11,firm48
1138,14,11,firm87
1139,0,11,firm12
1140,10,11,firm35
1141,12,11,firm66
1142,14,11,firm97
1143,10,11,firm30
1144,9,11,firm61
1145,12,11,firm92
1146,12,11,firm9
1147,11,11,firm40
1148,10,11,firm79
1149,14,11,firm4
1150,12,11,firm27
1151,6,11,firm58
1152,14,11,firm89
1153,12,11,firm22
1154,8,11,firm53
1155,10,11,firm84
1156,12,11,firm1
1157,12,11,firm32
1158,12,11,firm71
1159,8,11,firm19
1160,8,11,firm50
1161,12,11,firm81
1162,7,11,firm14
1163,8,11,firm45
1164,11,11,firm76
1165,14,11,firm99
1166,10,11,firm24
1167,12,11,firm63
1168,14,11,firm94
1169,1,11,firm11
1170,14,11,firm42
1171,14,11,firm73
1172,12,11,firm6
1173,11,11,firm37
1174,10,11,firm68
1175,8,11,firm91
1176,10,11,firm16
1177,14,11,firm55
1178,6,11,firm86
1179,7,11,firm3
1180,10,11,firm34
1181,14,11,firm65
1182,12,11,firm96
1183,10,11,firm29
1184,7,11,firm60
1185,8,11,firm83
1186,5,11,firm8
1187,12,11,firm47
1188,8,11,firm78
1189,14,11,firm26
1190,12,11,firm57
1191,10,11,firm88
1192,4,11,firm21
1193,8,11,firm52
1194,10,11,firm75
1195,7,11,firm0
1196,12,11,firm39
1197,14,11,firm70
1198,6,11,firm18
1199,8,11,firm49
1200,4,11,firm80
1201,9,12,firm13
1202,15,12,firm44
1203,9,12,firm67
1204,9,12,firm98
1205,15,12,firm31
1206,9,12,firm62
1207,9,12,firm93
1208,15,12,firm10
1209,13,12,firm41
1210,9,12,firm72
1211,5,12,firm5
1212,7,12,firm36
1213,11,12,firm59
1214,9,12,firm90
1215,9,12,firm23
1216,9,12,firm54
1217,13,12,firm85
1218,8,12,firm2
1219,7,12,firm33
1220,15,12,firm64
1221,8,12,firm28
1222,3,12,firm51
1223,11,12,firm82
1224,13,12,firm15
1225,15,12,firm46
1226,9,12,firm77
1227,13,12,firm25
1228,13,12,firm56
